REPORTE DE VENTAS POR ARTICULO
Empresa demostracion S. de R.L.;;Emitido por el sistema

FECHAEMISION;COD_ARTICULO;DESCRIPCION;CANT;PRECIO_UNIT;COSTO_UNIT;CLIENTE
01/12/2025;P-001;Producto rentable;4;L 180.00;L 95.00;C-02
01/12/2025;P-002;Producto sobreabastecido;2;L 250.00;L 170.00;C-03
01/12/2025;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-04
01/12/2025;P-004;Producto por agotarse;5;L 160.00;L 105.00;C-05
01/12/2025;P-006;Producto estacional detenido;3;L 210.00;L 140.00;C-06
02/12/2025;P-001;Producto rentable;5;L 180.00;L 95.00;C-07
02/12/2025;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-08
02/12/2025;P-004;Producto por agotarse;6;L 160.00;L 105.00;C-09
02/12/2025;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-10
03/12/2025;P-001;Producto rentable;5;L 180.00;L 95.00;C-11
03/12/2025;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-12
03/12/2025;P-004;Producto por agotarse;7;L 160.00;L 105.00;C-13
03/12/2025;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-14
04/12/2025;P-001;Producto rentable;6;L 180.00;L 95.00;C-15
04/12/2025;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-16
04/12/2025;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-17
04/12/2025;P-006;Producto estacional detenido;5;L 210.00;L 140.00;C-18
05/12/2025;P-001;Producto rentable;15;L 180.00;L 95.00;C-01
05/12/2025;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-02
05/12/2025;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-03
05/12/2025;P-006;Producto estacional detenido;6;L 210.00;L 140.00;C-04
06/12/2025;P-001;Producto rentable;3;L 180.00;L 95.00;C-05
06/12/2025;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-06
06/12/2025;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-07
06/12/2025;P-006;Producto estacional detenido;2;L 210.00;L 140.00;C-08
07/12/2025;P-001;Producto rentable;2;L 180.00;L 95.00;C-09
07/12/2025;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-10
07/12/2025;P-004;Producto por agotarse;6;L 160.00;L 105.00;C-11
07/12/2025;P-006;Producto estacional detenido;1;L 210.00;L 140.00;C-12
08/12/2025;P-001;Producto rentable;4;L 180.00;L 95.00;C-13
08/12/2025;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-14
08/12/2025;P-004;Producto por agotarse;5;L 160.00;L 105.00;C-15
08/12/2025;P-006;Producto estacional detenido;3;L 210.00;L 140.00;C-16
09/12/2025;P-001;Producto rentable;5;L 180.00;L 95.00;C-17
09/12/2025;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-18
09/12/2025;P-004;Producto por agotarse;6;L 160.00;L 105.00;C-01
09/12/2025;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-02
10/12/2025;P-001;Producto rentable;5;L 180.00;L 95.00;C-03
10/12/2025;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-04
10/12/2025;P-004;Producto por agotarse;7;L 160.00;L 105.00;C-05
10/12/2025;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-06
11/12/2025;P-001;Producto rentable;6;L 180.00;L 95.00;C-07
11/12/2025;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-08
11/12/2025;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-09
11/12/2025;P-006;Producto estacional detenido;5;L 210.00;L 140.00;C-10
12/12/2025;P-001;Producto rentable;8;L 180.00;L 95.00;C-11
12/12/2025;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-12
12/12/2025;P-004;Producto por agotarse;20;L 160.00;L 105.00;C-13
12/12/2025;P-006;Producto estacional detenido;6;L 210.00;L 140.00;C-14
13/12/2025;P-001;Producto rentable;3;L 180.00;L 95.00;C-15
13/12/2025;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-16
13/12/2025;P-004;Producto por agotarse;18;L 160.00;L 105.00;C-17
13/12/2025;P-006;Producto estacional detenido;2;L 210.00;L 140.00;C-18
14/12/2025;P-001;Producto rentable;2;L 180.00;L 95.00;C-01
14/12/2025;P-002;Producto sobreabastecido;1;L 250.00;L 170.00;C-02
14/12/2025;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-03
14/12/2025;P-004;Producto por agotarse;16;L 160.00;L 105.00;C-04
14/12/2025;P-006;Producto estacional detenido;1;L 210.00;L 140.00;C-05
15/12/2025;P-001;Producto rentable;4;L 180.00;L 95.00;C-06
15/12/2025;P-002;Producto sobreabastecido;2;L 250.00;L 170.00;C-07
15/12/2025;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-08
15/12/2025;P-004;Producto por agotarse;5;L 160.00;L 105.00;C-09
15/12/2025;P-006;Producto estacional detenido;3;L 210.00;L 140.00;C-10
16/12/2025;P-001;Producto rentable;5;L 180.00;L 95.00;C-11
16/12/2025;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-12
16/12/2025;P-004;Producto por agotarse;6;L 160.00;L 105.00;C-13
16/12/2025;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-14
17/12/2025;P-001;Producto rentable;5;L 180.00;L 95.00;C-15
17/12/2025;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-16
17/12/2025;P-004;Producto por agotarse;7;L 160.00;L 105.00;C-17
17/12/2025;P-006;Producto estacional detenido;4;L 210.00;L 140.00;C-18
18/12/2025;P-001;Producto rentable;6;L 180.00;L 95.00;C-01
18/12/2025;P-003;Producto con margen bajo;7;L 105.00;L 100.00;C-02
18/12/2025;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-03
18/12/2025;P-006;Producto estacional detenido;5;L 210.00;L 140.00;C-04
19/12/2025;P-001;Producto rentable;8;L 180.00;L 95.00;C-05
19/12/2025;P-003;Producto con margen bajo;9;L 105.00;L 100.00;C-06
19/12/2025;P-004;Producto por agotarse;10;L 160.00;L 105.00;C-07
19/12/2025;P-006;Producto estacional detenido;6;L 210.00;L 140.00;C-08
20/12/2025;P-001;Producto rentable;10;L 180.00;L 95.00;C-09
20/12/2025;P-003;Producto con margen bajo;5;L 105.00;L 100.00;C-10
20/12/2025;P-004;Producto por agotarse;8;L 160.00;L 105.00;C-11
20/12/2025;P-006;Producto estacional detenido;2;L 210.00;L 140.00;C-12
21/12/2025;P-001;Producto rentable;2;L 180.00;L 95.00;C-13
21/12/2025;P-003;Producto con margen bajo;4;L 105.00;L 100.00;C-14
21/12/2025;P-004;Producto por agotarse;6;L 160.00;L 105.00;C-15
21/12/2025;P-006;Producto estacional detenido;1;L 210.00;L 140.00;C-16
22/12/2025;P-001;Producto rentable;4;L 180.00;L 95.00;C-17
22/12/2025;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-18
22/12/2025;P-004;Producto por agotarse;5;L 160.00;L 105.00;C-01
22/12/2025;P-006;Producto estacional detenido;3;L 210.00;L 140.00;C-02
23/12/2025;P-001;Producto rentable;5;L 180.00;L 95.00;C-03
23/12/2025;P-003;Producto con margen bajo;8;L 105.00;L 100.00;C-04
